day,name,time,duration,type
Monday,reformer pilates,9:00,45,
,pilates mat class,10:00,60,
,semiprivate apparatus class,15:00,60,
,pilates mat class,18:15,60,
,kundalini yoga,19:30,75,
Tuesday,pilates mat class,10:30,60,
,pilates mat class,19:30,60,
Wednesday,reformer pilates,10:00,45,
,reformer pilates,12:30,45,
,pilates mat class,18:00,60,
,reformer pilates,19:15,45,
Thursday,reformer pilates,18:30,45,
,reformer pilates,19:30,45,
Friday,reformer pilates,8:00,45,
,semiprivate apparatus class,9:00,60,
,pilates mat class,9:30,60,
,reformer pilates,11:15,45,
,aerial advanced,18:15,60,
Saturday,reformer pilates,8:00,45,
,reformer pilates,9:00,45,
Sunday,reformer pilates,12:30,45,
