day,class name,start time and duration
Today,Cycle,06:30 (30 mins)
Today,STRENGTH 30,07:00 (30 mins)
Today,Metcon,09:15 (45 mins)
Today,Cycle,12:30 (30 mins)
Today,SWEAT 30,16:00 (30 mins)
Today,Burn It,16:45 (30 mins)
Today,Pump,17:30 (45 mins)
Today,SWEAT 30,18:15 (30 mins)
Today,Cycle,19:00 (30 mins)
Today,"Legs, Bums & Tums",20:00 (30 mins)
Tomorrow,SWEAT 30,06:30 (30 mins)
Tomorrow,Absolute Abs,07:00 (15 mins)
Tomorrow,Cycle,09:00 (30 mins)
Tomorrow,"Legs, Bums & Tums",12:30 (30 mins)
Tomorrow,Cycle,17:00 (30 mins)
Tomorrow,Pump,17:30 (45 mins)
Tomorrow,Burn It,18:15 (30 mins)
Tomorrow,Box Fit,19:00 (45 mins)
Wednesday21 August,Circuits,06:30 (45 mins)
Wednesday21 August,STRENGTH 30,09:00 (30 mins)
Wednesday21 August,Bodytone,09:30 (30 mins)
Wednesday21 August,SWEAT 30,12:30 (30 mins)
Wednesday21 August,Combat,17:00 (45 mins)
Wednesday21 August,"Legs, Bums & Tums",18:00 (45 mins)
Wednesday21 August,STRENGTH 30,18:30 (30 mins)
Wednesday21 August,Pilates £2,19:00 (60 mins)
Wednesday21 August,Bodytone,20:00 (30 mins)
Thursday22 August,Cycle,06:30 (30 mins)
Thursday22 August,STRENGTH 30,07:15 (30 mins)
Thursday22 August,Bodytone,09:15 (45 mins)
Thursday22 August,"Legs, Bums & Tums",12:30 (30 mins)
Thursday22 August,Burn It,13:00 (30 mins)
Thursday22 August,Cycle,17:00 (30 mins)
Thursday22 August,"Legs, Bums & Tums",18:15 (30 mins)
Friday23 August,Circuits,06:30 (45 mins)
Friday23 August,Absolute Abs,07:15 (15 mins)
Friday23 August,Pump,09:15 (45 mins)
Friday23 August,Box Fit,11:15 (45 mins)
Friday23 August,STRENGTH 30,12:30 (30 mins)
Friday23 August,Circuits,16:00 (45 mins)
Friday23 August,Absolute Abs,16:45 (15 mins)
Saturday24 August,Cycle,09:00 (45 mins)
