day,class name,start time and duration
Monday,Circuits,07:00 (45 mins)
,Stretch,07:45 (30 mins)
,"Legs, Bums & Tums",17:15 (45 mins)
,Bootcamp,18:15 (30 mins)
,Cycle,18:15 (45 mins)
,"Legs, Bums & Tums",19:15 (45 mins)
,Absolute Abs,20:30 (30 mins)
Tuesday,STRENGTH 30,06:45 (30 mins)
,Cycle,07:30 (30 mins)
,Cycle,12:15 (45 mins)
,Circuits,13:15 (45 mins)
,"Legs, Bums & Tums",17:00 (30 mins)
,STRENGTH 45,17:45 (45 mins)
,Cycle,18:15 (30 mins)
,STRENGTH 45,19:15 (45 mins)
,"Legs, Bums & Tums",20:30 (30 mins)
Wednesday,Cycle,06:30 (30 mins)
,Circuits,07:15 (45 mins)
,Absolute Abs,08:00 (15 mins)
,Bootcamp,12:15 (30 mins)
,Absolute Abs,12:45 (15 mins)
,SWEAT 45,16:30 (45 mins)
,Stretch,17:15 (30 mins)
,Metcon,18:00 (45 mins)
,Cycle,18:15 (45 mins)
,"Legs, Bums & Tums",18:45 (45 mins)
,SWEAT 30,19:00 (30 mins)
,Bodytone,19:30 (30 mins)
,Absolute Abs,20:15 (15 mins)
Thursday,STRENGTH 30,07:15 (30 mins)
,Cycle,12:15 (30 mins)
,Stretch,12:45 (30 mins)
,Kettlebell,17:15 (45 mins)
,Combat £4,18:00 (60 mins)
,Cycle,18:15 (45 mins)
,STRENGTH 30,19:00 (30 mins)
,Circuits,19:30 (45 mins)
Friday,Metcon,06:30 (30 mins)
,Circuits,07:15 (45 mins)
,STRENGTH 30,12:15 (30 mins)
,Absolute Abs,12:45 (15 mins)
,"Legs, Bums & Tums",17:15 (45 mins)
,STRENGTH 30,18:15 (30 mins)
Saturday,SWEAT 45,09:30 (45 mins)
,"Legs, Bums & Tums",10:30 (45 mins)
,Circuits,12:45 (45 mins)
,"Legs, Bums & Tums",13:30 (45 mins)
Sunday,STRENGTH 45,09:30 (45 mins)
,Cycle,10:30 (30 mins)
,Bodytone,12:15 (45 mins)
,Absolute Abs,13:00 (20 mins)
