day,class name,start time and duration
Monday,Cycle,06:30 (30 mins)
,Pump,07:00 (30 mins)
,"Legs, Bums & Tums",09:15 (45 mins)
,"Legs, Bums & Tums",16:45 (30 mins)
,Pump,18:30 (45 mins)
,SWEAT 30,19:15 (30 mins)
,Bodytone,20:00 (30 mins)
Tuesday,STRENGTH 45,06:30 (45 mins)
,"Legs, Bums & Tums",07:15 (30 mins)
,Circuits,09:15 (45 mins)
,Pump,10:30 (30 mins)
,Cycle,12:30 (30 mins)
,Pump,17:15 (45 mins)
,Cycle,18:00 (45 mins)
,"Legs, Bums & Tums",18:15 (45 mins)
,Step £2,19:00 (45 mins)
,SWEAT 30,19:15 (30 mins)
Wednesday,Circuits,06:30 (45 mins)
,Absolute Abs,07:15 (15 mins)
,Bodytone,09:15 (30 mins)
,"Legs, Bums & Tums",16:30 (30 mins)
,HEAT,17:30 (45 mins)
,SWEAT 45,17:45 (45 mins)
,Cycle,18:15 (30 mins)
,Bodytone,19:00 (45 mins)
Thursday,Cycle,06:30 (30 mins)
,Pump,07:00 (30 mins)
,"Legs, Bums & Tums",09:15 (45 mins)
,Pump,10:30 (30 mins)
,Cycle,12:30 (30 mins)
,Pump,17:15 (45 mins)
,Circuits,18:15 (45 mins)
,Cycle,18:15 (30 mins)
,Bodytone,19:15 (45 mins)
Friday,Cycle,06:30 (30 mins)
,"Legs, Bums & Tums",07:00 (30 mins)
,Circuits,09:15 (45 mins)
,Cycle,12:30 (30 mins)
,SWEAT 45,17:15 (45 mins)
,Cycle,18:15 (30 mins)
Saturday,Step £2,08:30 (60 mins)
,"Legs, Bums & Tums",09:30 (45 mins)
,Cycle,10:30 (30 mins)
,HEAT,12:15 (30 mins)
,"Legs, Bums & Tums",13:00 (45 mins)
Sunday,"Legs, Bums & Tums",09:30 (30 mins)
,Metcon,10:30 (45 mins)
,Cycle,12:15 (30 mins)
,"Legs, Bums & Tums",13:00 (30 mins)
