day,class name,start time and duration
Monday,Bodytone,06:30 (30 mins)
,Cycle,07:00 (30 mins)
,"Legs, Bums & Tums",09:15 (45 mins)
,Cycle,12:30 (30 mins)
,Bodytone,13:00 (30 mins)
,Bodytone,17:00 (30 mins)
,Cycle,17:30 (30 mins)
,"Legs, Bums & Tums",18:00 (30 mins)
,Yoga ,18:30 (45 mins)
,Cycle,18:45 (45 mins)
,Bodytone,20:00 (30 mins)
,Stretch,20:45 (15 mins)
Tuesday,Cycle,06:30 (30 mins)
,"Legs, Bums & Tums",07:00 (30 mins)
,Bodytone,09:15 (45 mins)
,"Legs, Bums & Tums",12:30 (30 mins)
,Cycle,13:00 (30 mins)
,Cycle,17:15 (45 mins)
,Bodytone,17:45 (30 mins)
,Pump,18:30 (45 mins)
,Cycle,18:45 (45 mins)
Wednesday,Cycle,06:30 (45 mins)
,Cycle,09:00 (30 mins)
,"Legs, Bums & Tums",09:30 (30 mins)
,Bodytone,10:15 (30 mins)
,Cycle,12:15 (45 mins)
,Metcon,17:00 (30 mins)
,Cycle,17:30 (30 mins)
,Bodytone,18:15 (30 mins)
,"Legs, Bums & Tums",18:45 (45 mins)
,Cycle,19:00 (30 mins)
,Combat ,19:30 (45 mins)
Thursday,Circuits,06:30 (45 mins)
,Absolute Abs,07:15 (15 mins)
,Cycle,09:30 (30 mins)
,Pilates ,12:00 (45 mins)
,Cycle,17:00 (30 mins)
,Pump,17:30 (45 mins)
,Cycle,18:15 (30 mins)
,Bodytone,19:00 (45 mins)
,Burn It,20:30 (30 mins)
Friday,"Legs, Bums & Tums",06:30 (30 mins)
,Cycle,07:00 (30 mins)
,Circuits,09:15 (45 mins)
,Pump,10:15 (45 mins)
,Cycle,12:30 (45 mins)
Saturday,"Legs, Bums & Tums",09:00 (45 mins)
,Cycle,10:00 (30 mins)
,Cycle,12:30 (30 mins)
Sunday,Cycle,09:00 (45 mins)
,Bootcamp,10:15 (45 mins)
,SWEAT 30,12:30 (30 mins)
,"Legs, Bums & Tums",13:30 (30 mins)
,Bodytone,06:30 (30 mins)
